measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,39,Tajikistan,3,Both,22,All ages,294,All causes,1,Number,1993,61586.87031591603,64521.94298998453,58710.82546128762
1,Deaths,18,Thailand,3,Both,22,All ages,294,All causes,1,Number,2019,497502.3508636624,628041.9339683263,389256.7819834537
1,Deaths,19,Timor-Leste,3,Both,22,All ages,294,All causes,1,Number,1999,9434.076134291956,10133.63438575986,8737.785424222513
1,Deaths,218,Togo,3,Both,22,All ages,294,All causes,1,Number,2008,59560.134541552216,65544.1660773752,53165.47009867289
1,Deaths,413,Tokelau,3,Both,22,All ages,294,All causes,1,Number,1990,15.775671515595324,18.4682949711792,13.737962069562448
1,Deaths,29,Tonga,3,Both,22,All ages,294,All causes,1,Number,2009,717.4802690965436,800.5072521599795,638.733936162682
1,Deaths,119,Trinidad and Tobago,3,Both,22,All ages,294,All causes,1,Number,2019,11765.05463280001,14952.24759220326,9167.266599214952
1,Deaths,154,Tunisia,3,Both,22,All ages,294,All causes,1,Number,2019,67618.3143227608,85426.14377679724,53063.07913500613
1,Deaths,155,Turkey,3,Both,22,All ages,294,All causes,1,Number,2019,454742.05491304415,536629.8340261468,382103.6068714366
1,Deaths,40,Turkmenistan,3,Both,22,All ages,294,All causes,1,Number,2019,33620.29444965096,40880.40581221604,27893.22440697579
1,Deaths,416,Tuvalu,3,Both,22,All ages,294,All causes,1,Number,2000,117.56088139163164,129.41824388983602,107.35015581734068
1,Deaths,190,Uganda,3,Both,22,All ages,294,All causes,1,Number,2000,353475.8955330667,381559.500958247,328730.7526804258
1,Deaths,63,Ukraine,3,Both,22,All ages,294,All causes,1,Number,1995,788935.5105015099,791662.045341944,786151.2844769699
1,Deaths,156,United Arab Emirates,3,Both,22,All ages,294,All causes,1,Number,2019,29113.021193422093,37347.467360776536,22477.792237654525
1,Deaths,95,United Kingdom,3,Both,22,All ages,294,All causes,1,Number,1990,637686.8323820395,639947.8656074688,635508.4350862021
1,Deaths,189,United Republic of Tanzania,3,Both,22,All ages,294,All causes,1,Number,2000,445729.8771790728,486206.8501621684,407783.9245094473
1,Deaths,422,United States Virgin Islands,3,Both,22,All ages,294,All causes,1,Number,2019,1279.0166162291653,1400.8565627326325,1136.9820218617274
1,Deaths,102,United States of America,3,Both,22,All ages,294,All causes,1,Number,2019,2946455.755227674,2968832.3179248003,2924325.157767546
1,Deaths,99,Uruguay,3,Both,22,All ages,294,All causes,1,Number,2019,33847.279255524096,34774.81258005794,33004.02177046704
1,Deaths,41,Uzbekistan,3,Both,22,All ages,294,All causes,1,Number,2005,204494.8681274372,212399.08826246383,196742.4747485194
1,Deaths,30,Vanuatu,3,Both,22,All ages,294,All causes,1,Number,2019,2236.499869090552,2801.363959158935,1831.439133599502
1,Deaths,133,Venezuela (Bolivarian Republic of),3,Both,22,All ages,294,All causes,1,Number,2019,186929.27547514453,236980.81422084823,146795.75659792288
1,Deaths,20,Viet Nam,3,Both,22,All ages,294,All causes,1,Number,2019,631817.5708691906,714078.8817235401,538099.6580135827
1,Deaths,157,Yemen,3,Both,22,All ages,294,All causes,1,Number,2018,189407.66823277343,223687.05571693968,163069.89993068273
1,Deaths,191,Zambia,3,Both,22,All ages,294,All causes,1,Number,2001,173140.90850432395,192207.74014853983,156219.00797204758
1,Deaths,198,Zimbabwe,3,Both,22,All ages,294,All causes,1,Number,2004,200031.6134626613,232049.35305943413,166869.74858176045
